issue,priority,sku,product,category,field,discrete_value,blob_value,action,url
conflict,1,"MWBBFUR","Urethane Fixed Barbells","Weightlifting","Assembled size","1,044 x 153 x 153","1,170 x 193 x 193","Decide which is correct, then set the assembled_size_length/width/height/depth field to it",/product/urethane-fixed-barbells-v
conflict,1,"MWBBFUR","Urethane Fixed Barbells","Weightlifting","Net weight","10","40 kg","Decide which is correct, then set the net_weight field to it",/product/urethane-fixed-barbells-v
conflict,1,"MWBBFUR","Urethane Fixed Barbells","Weightlifting","Gross weight","11","41 kg","Decide which is correct, then set the gross_weight field to it",/product/urethane-fixed-barbells-v
conflict,1,"MWWPOU","Olympic Urethane Weight Plates","Weightlifting","Assembled size","160 x 160 x 22","250 x 250 x 37","Decide which is correct, then set the assembled_size_length/width/height/depth field to it",/product/olympic-urethane-weight-plates
conflict,1,"MWWPOU","Olympic Urethane Weight Plates","Weightlifting","Net weight","1","5 kg","Decide which is correct, then set the net_weight field to it",/product/olympic-urethane-weight-plates
conflict,1,"MWWPOU","Olympic Urethane Weight Plates","Weightlifting","Gross weight","2","6 kg","Decide which is correct, then set the gross_weight field to it",/product/olympic-urethane-weight-plates
blob_only,3,"ABCTFS02","Core Trainer (Landmine) With T Bar Handle","Body Weight","Assembled size","","420 x 170 x 590","Copy ""420 x 170 x 590"" into the assembled_size_length/width/height/depth field",/product/core-trainer-landmine-with-t-bar-handle-2
blob_only,3,"ABCTFS02","Core Trainer (Landmine) With T Bar Handle","Body Weight","Colour","","Black","Copy ""Black"" into the colour field",/product/core-trainer-landmine-with-t-bar-handle-2
blob_only,3,"ABCTFS02","Core Trainer (Landmine) With T Bar Handle","Body Weight","Material","","Steel","Copy ""Steel"" into the material field",/product/core-trainer-landmine-with-t-bar-handle-2
blob_only,3,"ABCTFS02","Core Trainer (Landmine) With T Bar Handle","Body Weight","Net weight","","16 kg","Copy ""16 kg"" into the net_weight field",/product/core-trainer-landmine-with-t-bar-handle-2
blob_only,3,"ABCTFS02","Core Trainer (Landmine) With T Bar Handle","Body Weight","Gross weight","","17 kg","Copy ""17 kg"" into the gross_weight field",/product/core-trainer-landmine-with-t-bar-handle-2
blob_only,3,"ABCTFS02","Core Trainer (Landmine) With T Bar Handle","Body Weight","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/core-trainer-landmine-with-t-bar-handle-2
blob_only,3,"ABEMMA01","EVA Exercise Mat","Body Weight","Assembled size","","600 x 15 x 1,400","Copy ""600 x 15 x 1,400"" into the assembled_size_length/width/height/depth field",/product/eva-exercise-mat
blob_only,3,"ABEMMA01","EVA Exercise Mat","Body Weight","Colour","","Dark Grey","Copy ""Dark Grey"" into the colour field",/product/eva-exercise-mat
blob_only,3,"ABEMMA01","EVA Exercise Mat","Body Weight","Material","","EVA Foam","Copy ""EVA Foam"" into the material field",/product/eva-exercise-mat
blob_only,3,"ABEMMA01","EVA Exercise Mat","Body Weight","Net weight","","2 kg","Copy ""2 kg"" into the net_weight field",/product/eva-exercise-mat
blob_only,3,"ABEMMA01","EVA Exercise Mat","Body Weight","Gross weight","","3 kg","Copy ""3 kg"" into the gross_weight field",/product/eva-exercise-mat
blob_only,3,"ABEMMA01","EVA Exercise Mat","Body Weight","Warranty","","6 months","Copy ""6 months"" into the warranty field",/product/eva-exercise-mat
blob_only,3,"ABRPBA01","Knitted Resistance Bands (Set of 3)","Body Weight","Assembled size","","340 x 80","Copy ""340 x 80"" into the assembled_size_length/width/height/depth field",/product/knitted-resistance-bands-set-of-3-2
blob_only,3,"ABRPBA01","Knitted Resistance Bands (Set of 3)","Body Weight","Material","","Fabric, Latex","Copy ""Fabric, Latex"" into the material field",/product/knitted-resistance-bands-set-of-3-2
blob_only,3,"ABRPBA01","Knitted Resistance Bands (Set of 3)","Body Weight","Net weight","","1 kg","Copy ""1 kg"" into the net_weight field",/product/knitted-resistance-bands-set-of-3-2
blob_only,3,"ABRPBA01","Knitted Resistance Bands (Set of 3)","Body Weight","Gross weight","","1 kg","Copy ""1 kg"" into the gross_weight field",/product/knitted-resistance-bands-set-of-3-2
blob_only,3,"ABRPBA01","Knitted Resistance Bands (Set of 3)","Body Weight","Warranty","","3 months","Copy ""3 months"" into the warranty field",/product/knitted-resistance-bands-set-of-3-2
blob_only,3,"ABSADI01","Mini Disc Cones (Set of 50)","Body Weight","Assembled size","","150 x 150 x 150","Copy ""150 x 150 x 150"" into the assembled_size_length/width/height/depth field",/product/mini-disc-cones-set-of-50-2
blob_only,3,"ABSADI01","Mini Disc Cones (Set of 50)","Body Weight","Colour","","Red, Blue, Green, Yellow, Orange","Copy ""Red, Blue, Green, Yellow, Orange"" into the colour field",/product/mini-disc-cones-set-of-50-2
blob_only,3,"ABSADI01","Mini Disc Cones (Set of 50)","Body Weight","Material","","Plastic","Copy ""Plastic"" into the material field",/product/mini-disc-cones-set-of-50-2
blob_only,3,"ABSADI01","Mini Disc Cones (Set of 50)","Body Weight","Net weight","","1 kg","Copy ""1 kg"" into the net_weight field",/product/mini-disc-cones-set-of-50-2
blob_only,3,"ABSADI01","Mini Disc Cones (Set of 50)","Body Weight","Gross weight","","2 kg","Copy ""2 kg"" into the gross_weight field",/product/mini-disc-cones-set-of-50-2
blob_only,3,"ABSADI01","Mini Disc Cones (Set of 50)","Body Weight","Warranty","","3 months","Copy ""3 months"" into the warranty field",/product/mini-disc-cones-set-of-50-2
blob_only,3,"ABSUTR01","Suspension Trainer","Body Weight","Assembled size","","1,600 x 80 x 120","Copy ""1,600 x 80 x 120"" into the assembled_size_length/width/height/depth field",/product/suspension-trainer
blob_only,3,"ABSUTR01","Suspension Trainer","Body Weight","Colour","","Black, Blue","Copy ""Black, Blue"" into the colour field",/product/suspension-trainer
blob_only,3,"ABSUTR01","Suspension Trainer","Body Weight","Material","","Nylon webbing","Copy ""Nylon webbing"" into the material field",/product/suspension-trainer
blob_only,3,"ABSUTR01","Suspension Trainer","Body Weight","Net weight","","5 kg","Copy ""5 kg"" into the net_weight field",/product/suspension-trainer
blob_only,3,"ABSUTR01","Suspension Trainer","Body Weight","Gross weight","","6 kg","Copy ""6 kg"" into the gross_weight field",/product/suspension-trainer
blob_only,3,"ABSUTR01","Suspension Trainer","Body Weight","Warranty","","6 months","Copy ""6 months"" into the warranty field",/product/suspension-trainer
blob_only,3,"MBASADJ-GROUP","Group Fitness Step","Body Weight","Assembled size","","1,080 x 420 x 250","Copy ""1,080 x 420 x 250"" into the assembled_size_length/width/height/depth field",/product/group-fitness-step
blob_only,3,"MBASADJ-GROUP","Group Fitness Step","Body Weight","Colour","","Black/Blue","Copy ""Black/Blue"" into the colour field",/product/group-fitness-step
blob_only,3,"MBASADJ-GROUP","Group Fitness Step","Body Weight","Material","","PP & TPR","Copy ""PP & TPR"" into the material field",/product/group-fitness-step
blob_only,3,"MBASADJ-GROUP","Group Fitness Step","Body Weight","Net weight","","19 kg","Copy ""19 kg"" into the net_weight field",/product/group-fitness-step
blob_only,3,"MBASADJ-GROUP","Group Fitness Step","Body Weight","Gross weight","","19 kg","Copy ""19 kg"" into the gross_weight field",/product/group-fitness-step
blob_only,3,"MBASADJ-GROUP","Group Fitness Step","Body Weight","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/group-fitness-step
blob_only,3,"MBASADJ01","Group Fitness Step (Adjustable)","Body Weight","Assembled size","","1,200 x 310 x 200-350mm","Copy ""1,200 x 310 x 200-350mm"" into the assembled_size_length/width/height/depth field",/product/group-fitness-step-adjustable
blob_only,3,"MBASADJ01","Group Fitness Step (Adjustable)","Body Weight","Colour","","Grey/Black","Copy ""Grey/Black"" into the colour field",/product/group-fitness-step-adjustable
blob_only,3,"MBASADJ01","Group Fitness Step (Adjustable)","Body Weight","Material","","PP & TPE","Copy ""PP & TPE"" into the material field",/product/group-fitness-step-adjustable
blob_only,3,"MBASADJ01","Group Fitness Step (Adjustable)","Body Weight","Net weight","","12 kg","Copy ""12 kg"" into the net_weight field",/product/group-fitness-step-adjustable
blob_only,3,"MBASADJ01","Group Fitness Step (Adjustable)","Body Weight","Gross weight","","13 kg","Copy ""13 kg"" into the gross_weight field",/product/group-fitness-step-adjustable
blob_only,3,"MBASADJ01","Group Fitness Step (Adjustable)","Body Weight","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/group-fitness-step-adjustable
blob_only,3,"MBBSCU01","Balance Cushion","Body Weight","Assembled size","","330 x 60 x 330","Copy ""330 x 60 x 330"" into the assembled_size_length/width/height/depth field",/product/balance-cushion
blob_only,3,"MBBSCU01","Balance Cushion","Body Weight","Colour","","Blue","Copy ""Blue"" into the colour field",/product/balance-cushion
blob_only,3,"MBBSCU01","Balance Cushion","Body Weight","Material","","PVC","Copy ""PVC"" into the material field",/product/balance-cushion
blob_only,3,"MBBSCU01","Balance Cushion","Body Weight","Net weight","","2 kg","Copy ""2 kg"" into the net_weight field",/product/balance-cushion
blob_only,3,"MBBSCU01","Balance Cushion","Body Weight","Gross weight","","3 kg","Copy ""3 kg"" into the gross_weight field",/product/balance-cushion
blob_only,3,"MBBSCU01","Balance Cushion","Body Weight","Warranty","","3 months","Copy ""3 months"" into the warranty field",/product/balance-cushion
blob_only,3,"MBBSTR01","Fitness & Balance Trainer","Body Weight","Assembled size","","700 x 250 x 700","Copy ""700 x 250 x 700"" into the assembled_size_length/width/height/depth field",/product/fitness-balance-trainer
blob_only,3,"MBBSTR01","Fitness & Balance Trainer","Body Weight","Colour","","Blue/Black","Copy ""Blue/Black"" into the colour field",/product/fitness-balance-trainer
blob_only,3,"MBBSTR01","Fitness & Balance Trainer","Body Weight","Material","","PVC","Copy ""PVC"" into the material field",/product/fitness-balance-trainer
blob_only,3,"MBBSTR01","Fitness & Balance Trainer","Body Weight","Net weight","","7 kg","Copy ""7 kg"" into the net_weight field",/product/fitness-balance-trainer
