"Kind","Product Code","Name","Group","Fields","ERP W","ERP H","ERP D","ERP kg","Store W","Store H","Store D","Store kg"
"needs-measuring","MAACU05XL","Short Sleeve Tee (Male) (XL)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU06L","Training Shorts - 7"" (Male) (L)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU06M","Training Shorts - 7"" (Male) (M)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU06S","Training Shorts - 7"" (Male) (S)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU06XL","Training Shorts - 7"" (Male) (XL)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU07L","Short Sleeve Polo (Male) (L)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU07M","Short Sleeve Polo (Male) (M)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU07S","Short Sleeve Polo (Male) (S)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU07XL","Short Sleeve Polo (Male) (XL)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU08L","Tank (Male) (L)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU08M","Tank (Male) (M)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU08S","Tank (Male) (S)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU08XL","Tank (Male) (XL)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU09L","High Rise Leggings (Woman) (L)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU09M","High Rise Leggings (Woman) (M)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU09S","High Rise Leggings (Woman) (S)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU09XL","High Rise Leggings (Woman) (XL)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU10L","Relaxed Short Sleeve Tee (Woman) (L)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU10M","Relaxed Short Sleeve Tee (Woman) (M)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU10S","Relaxed Short Sleeve Tee (Woman) (S)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU10XL","Relaxed Short Sleeve Tee (Woman) (XL)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU11L","Tank (Woman) (L)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU11M","Tank (Woman) (M)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU11S","Tank (Woman) (S)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU11XL","Tank (Woman) (XL)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU12L","Sports Bra (Woman) (L)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU12M","Sports Bra (Woman) (S)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU12S","Sports Bra (Woman) (S)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MAACU12XL","Sports Bra (Woman) (XL)","Apparel","","0","0","0","0","","","",""
"needs-measuring","MBCT5501","Fitness Ball - 55cm (Anti-Burst)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBCT6501","Fitness Ball - 65cm (Anti-Burst)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBCT7501","Fitness Ball - 75cm (Anti-Burst)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBCTDR02","Core Trainer (Landmine) With T Bar Handle","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBGFSTP01","Group Fitness Step (Adjustable)","Mixed Implements","","0","0","0","0","","","",""
"needs-measuring","MBGFSTP03","Group Fitness Step (6 Risers)","Mixed Implements","","0","0","0","0","","","",""
"needs-measuring","MBPAMA01","EVA Exercise Mat (Set of 10)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBPB3I103","3-In-1 Foam Plyometric Box - 21kg","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBRMRL04","Foam Roller - 32cm (Trigger Point)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBRMRL09","Massage Rolling Machine","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBRPBA02","Power Bands (Pack of 4)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBRPBA03","Power Bands (Pack of 8)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBRPPO03","Micro Bands - Heavy","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBRPPO04","Micro Bands - X Heavy","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBRPPO05","Micro Bands - XX Heavy","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBRPPO06","Power Bands - 13mm (Red)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBRPPO07","Power Bands - 21mm (Grey)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBRPPO08","Power Bands - 32mm (Black)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBSADO01","Agility Dots (Set of 5)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBSADO03","Station Markets (Set of 20)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MBSAROL01","Speed Rope (Elite)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","MCBIMG01","Performance Indoor Cycle","Cardio","","0","0","0","0","","","",""
"needs-measuring","MCRFAL01","Performance Reformer","Cardio","","0","0","0","0","","","",""
"needs-measuring","MCRFWO01","Studio Reformer","Cardio","","0","0","0","0","","","",""
"needs-measuring","MCSTACC01","Ski Trainer Floor Stand","Cardio","","0","0","0","0","","","",""
"needs-measuring","MEFMOD03","Modular Storage Rack (Complete)","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MEFRBB06","Barbell Storage Box (12 Bar Holder)","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MEFRST01","Power Bag Storage Rack - 5 Bag","Storage","","0","0","0","0","","","",""
"needs-measuring","MEFSACC01","Modular Storage Rack (Kettlebells, Dumbbells) - HD 2 Tier","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MEFSBB04","Barbell Storage Box","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MEFSBL01","Medicine Ball Rack - 10 Ball (Double Sided)","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MEFSBL03","Medicine Ball Rack - 5 Ball (Single Sided)","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MEFSDB01","Vertical Dumbbell Rack - 10 Pair (Single Sided) 1.0","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MEFSDB06","Vertical Dumbbell Rack - Portable (Four Sided)","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MEFSKB01","Kettlebell Rack (2 Tier) 2.0","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MEFSOP01","Olympic Plate Toaster Rack Portable","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MEFSPS01","Group Fitness Barbell Set Rack","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MERK153001","Retail Rack","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MEWMMA 01","Wall Mounted-Exercise Mat Hanging Rack","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MEWMRO 01","Wall Mounted-Battle Rope Storage","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MEWMRO 02","Wall Mounted-Rope & Band Rack","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MEWMRO02","Rope & Band Rack (Wall Mounted)","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MEWMRO02-S","Wall Mounted-Rope & Band Rack-SMALL","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MEWMST17","Battle Rope Storage (Wall Mounted)","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","MFATSY04","Artificial Turf Black (2m x 20m)","Flooring","","0","0","0","0","","","",""
"needs-measuring","MFRFRR01","Impact-Lock Rubber Tiles - 20mm","Flooring","","0","0","0","0","","","",""
"needs-measuring","MFRFRR03","Impact-Lock Rubber Tiles - 30mm","Flooring","","0","0","0","0","","","",""
"needs-measuring","MKCON","Mix Container Fee","Other Costs","","0","0","0","0","","","",""
"needs-measuring","MKCUS","Customisation","Other Costs","","0","0","0","0","","","",""
"needs-measuring","MKDEC","Digital Decal","Other Costs","","0","0","0","0","","","",""
"needs-measuring","MKDEL","Delivery","Other Costs","","0","0","0","0","","","",""
"needs-measuring","MKDIA","Delivery & Instalation","Other Costs","","0","0","0","0","","","",""
"needs-measuring","MKDISC","Customer Discount","Other Costs","","0","0","0","0","","","",""
"needs-measuring","MKFDA","Freight & Delivery Allowance","Other Costs","","0","0","0","0","","","",""
"needs-measuring","MKFR","Freight - Local","Other Costs","","0","0","0","0","","","",""
"needs-measuring","MKINS","Installation","Other Costs","","0","0","0","0","","","",""
"needs-measuring","MKLTCL","LTCL Fee","Other Costs","","0","0","0","0","","","",""
"needs-measuring","MKMOLD","Mold Costs","Other Costs","","0","0","0","0","","","",""
"needs-measuring","MK-OLYPBAR20-700","Olympic Power Bar-20kg (2200mm, 700lb Capacity)","Clearance","","0","0","0","0","","","",""
"needs-measuring","MKPAL","Fumigated Pallet","Other Costs","","0","0","0","0","","","",""
"needs-measuring","MKSAM","Samples","Other Costs","","0","0","0","0","","","",""
"needs-measuring","MKSTO","Storage & Handling","Other Costs","","0","0","0","0","","","",""
"needs-measuring","MKSUPP","Supplier Discount","Other Costs","","0","0","0","0","","","",""
"needs-measuring","MKVA","Value Add","Other Costs","","0","0","0","0","","","",""
