"*Product Code","Channel","Assembled size","Material","Colour","Warranty"
"SEFRDB01","portal","L 780 × W 620 × H 1,440 mm","Steel","Black","12 months"
"MEFRDB02","public","L 780 × W 620 × H 1,440 mm","Steel","Black","12 months"
"SEFRDB02","portal","L 780 × W 620 × H 1,440 mm","Steel","Black","12"
"SEFRDB04","portal","L 780 × W 620 × H 1,440 mm","Steel","Black","12"
"MEFRDB04","public","L 780 × W 620 × H 1,440 mm","Steel","Black","12 months"
"SEFRDB03","portal","L 780 × W 620 × H 1,440 mm","Steel","Black","12"
"MEFRDB03","public","L 780 × W 620 × H 1,440 mm","Steel","Black","12 months"
"SEFRDB06","portal","L 580 × W 550 × H 1,150 mm","Steel","Black","12 months"
"AEFRDB06","public","L 580 × W 550 × H 1,150 mm","Steel","Black","12 months"
"MEFRDB06","public","L 580 × W 550 × H 1,150 mm","Steel","Black","12 months"
"RWWAACC01","portal","W 125 mm","Nylon","Black","6 months"
"MWWAACC01","public","L 800 × W 128 × H 10 mm","Nylon","Black","6 months"
"SWWAACC01","portal","L 800 × W 128 × H 10 mm","Nylon","Black","6"
"RWWLCH02","portal","L 190 × W 190 × H 90 mm","Magnesium carbonate","White",""
"MWWLCH01","public","L 190 × W 190 × H 90 mm","Magnesium carbonate","White",""
"SWWLCH01","portal","L 190 × W 190 × H 90 mm","Magnesium carbonate","White",""
