Group,Sub-group,Card,Level,Product code,Product name,Problem,Unleashed field,What the customer sees
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR37","Fixed PU Curl Barbell - 47.5kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Curl Barbell","size","MWBBFUR38","Fixed PU Curl Barbell - 50kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/fixed-pu-curl-barbell shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Straight Barbell","size","MWBBFUR13","Fixed PU Straight Barbell - 27.5kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/urethane-fixed-barbells-2 shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Straight Barbell","size","MWBBFUR14","Fixed PU Straight Barbell - 32.5kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/urethane-fixed-barbells-2 shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Straight Barbell","size","MWBBFUR15","Fixed PU Straight Barbell - 37.5kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/urethane-fixed-barbells-2 shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Straight Barbell","size","MWBBFUR16","Fixed PU Straight Barbell - 42.5kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/urethane-fixed-barbells-2 shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Straight Barbell","size","MWBBFUR17","Fixed PU Straight Barbell - 45kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/urethane-fixed-barbells-2 shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Straight Barbell","size","MWBBFUR18","Fixed PU Straight Barbell - 47.5kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/urethane-fixed-barbells-2 shows the range's other photo, not this one"
"Weightlifting","Barbells","Fixed PU Straight Barbell","size","MWBBFUR19","Fixed PU Straight Barbell - 50kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/urethane-fixed-barbells-2 shows the range's other photo, not this one"
"Weightlifting","Barbells","Olympic Barbell","size","MWBBOS01","Olympic Barbell - 15kg (1500Lb Capacity) - Stainless Steel","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/olympic-barbell-7ft-chrome-1000lb-capacity shows the range's other photo, not this one"
"Weightlifting","Barbells","Olympic Barbell","size","MWBBOS02","Olympic Barbell - 20kg (2000Lb Capacity) - Stainless Steel","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/olympic-barbell-7ft-chrome-1000lb-capacity shows the range's other photo, not this one"
"Weightlifting","Weight Plates","Olympic PU Weight Plates (4 Grip)","size","MWWPOU08","Olympic PU Weight Plates (4 Grip) - 1.25kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/olympic-pu-weight-plates-4-grip shows the range's other photo, not this one"
"Weightlifting","Weight Plates","Olympic PU Weight Plates (4 Grip)","size","MWWPOU09","Olympic PU Weight Plates (4 Grip) - 10kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/olympic-pu-weight-plates-4-grip shows the range's other photo, not this one"
"Weightlifting","Weight Plates","Olympic PU Weight Plates (4 Grip)","size","MWWPOU11","Olympic PU Weight Plates (4 Grip) - 2.5kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/olympic-pu-weight-plates-4-grip shows the range's other photo, not this one"
"Weightlifting","Weight Plates","Olympic PU Weight Plates (4 Grip)","size","MWWPOU12","Olympic PU Weight Plates (4 Grip) - 20kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/olympic-pu-weight-plates-4-grip shows the range's other photo, not this one"
"Weightlifting","Weight Plates","Pro Bumper Plates","size","MWWPCNB07","Pro Bumper Plates - 10kg","SIZE HAS NO PHOTO","Product > Images","Picking this size on /product/pro-bumper-plates shows the range's other photo, not this one"
